"t","stimulus","x","y","t.stim","subid"
144.314,"140121-ey-simpleImp-list1.016",202,308,9.53333333333333,"EY-test.txt"
144.323,"140121-ey-simpleImp-list1.016",203,310,9.54166666666667,"EY-test.txt"
144.331,"140121-ey-simpleImp-list1.016",205,316,9.55,"EY-test.txt"
144.339,"140121-ey-simpleImp-list1.016",207,321,9.55833333333333,"EY-test.txt"
144.348,"140121-ey-simpleImp-list1.016",196,348,9.56666666666667,"EY-test.txt"
144.356,"140121-ey-simpleImp-list1.016",150,359,9.575,"EY-test.txt"
144.364,"140121-ey-simpleImp-list1.016",135,387,9.58333333333333,"EY-test.txt"
144.373,"140121-ey-simpleImp-list1.016",129,383,9.59166666666667,"EY-test.txt"
144.381,"140121-ey-simpleImp-list1.016",126,403,9.6,"EY-test.txt"
144.39,"140121-ey-simpleImp-list1.016",118,408,9.60833333333333,"EY-test.txt"
144.398,"140121-ey-simpleImp-list1.016",116,419,9.61666666666667,"EY-test.txt"
144.406,"140121-ey-simpleImp-list1.016",127,421,9.625,"EY-test.txt"
144.415,"140121-ey-simpleImp-list1.016",129,422,9.63333333333333,"EY-test.txt"
144.423,"140121-ey-simpleImp-list1.016",118,430,9.64166666666667,"EY-test.txt"
144.431,"140121-ey-simpleImp-list1.016",121,428,9.65,"EY-test.txt"
144.44,"140121-ey-simpleImp-list1.016",117,429,9.65833333333333,"EY-test.txt"
144.448,"140121-ey-simpleImp-list1.016",111,429,9.66666666666667,"EY-test.txt"
144.456,"140121-ey-simpleImp-list1.016",108,432,9.675,"EY-test.txt"
144.465,"140121-ey-simpleImp-list1.016",103,434,9.68333333333333,"EY-test.txt"
144.473,"140121-ey-simpleImp-list1.016",100,432,9.69166666666667,"EY-test.txt"
144.481,"140121-ey-simpleImp-list1.016",99,432,9.7,"EY-test.txt"
144.49,"140121-ey-simpleImp-list1.016",100,428,9.70833333333333,"EY-test.txt"
144.498,"140121-ey-simpleImp-list1.016",95,431,9.71666666666667,"EY-test.txt"
144.506,"140121-ey-simpleImp-list1.016",90,429,9.725,"EY-test.txt"
144.515,"140121-ey-simpleImp-list1.016",91,428,9.73333333333333,"EY-test.txt"
144.523,"140121-ey-simpleImp-list1.016",90,424,9.74166666666667,"EY-test.txt"
144.531,"140121-ey-simpleImp-list1.016",87,423,9.75,"EY-test.txt"
144.54,"140121-ey-simpleImp-list1.016",91,426,9.75833333333333,"EY-test.txt"
144.548,"140121-ey-simpleImp-list1.016",98,426,9.76666666666667,"EY-test.txt"
144.556,"140121-ey-simpleImp-list1.016",108,422,9.775,"EY-test.txt"
144.565,"140121-ey-simpleImp-list1.016",124,424,9.78333333333333,"EY-test.txt"
144.573,"140121-ey-simpleImp-list1.016",109,419,9.79166666666667,"EY-test.txt"
144.581,"140121-ey-simpleImp-list1.016",112,424,9.8,"EY-test.txt"
144.59,"140121-ey-simpleImp-list1.016",112,421,9.80833333333333,"EY-test.txt"
144.598,"140121-ey-simpleImp-list1.016",106,424,9.81666666666667,"EY-test.txt"
144.606,"140121-ey-simpleImp-list1.016",118,422,9.825,"EY-test.txt"
144.615,"140121-ey-simpleImp-list1.016",176,412,9.83333333333333,"EY-test.txt"
144.623,"140121-ey-simpleImp-list1.016",251,397,9.84166666666667,"EY-test.txt"
144.631,"140121-ey-simpleImp-list1.016",274,386,9.85,"EY-test.txt"
144.64,"140121-ey-simpleImp-list1.016",302,388,9.85833333333333,"EY-test.txt"
144.648,"140121-ey-simpleImp-list1.016",297,384,9.86666666666667,"EY-test.txt"
144.656,"140121-ey-simpleImp-list1.016",298,382,9.875,"EY-test.txt"
144.665,"140121-ey-simpleImp-list1.016",303,383,9.88333333333333,"EY-test.txt"
144.673,"140121-ey-simpleImp-list1.016",302,373,9.89166666666667,"EY-test.txt"
144.681,"140121-ey-simpleImp-list1.016",300,361,9.9,"EY-test.txt"
144.69,"140121-ey-simpleImp-list1.016",300,357,9.90833333333333,"EY-test.txt"
144.698,"140121-ey-simpleImp-list1.016",301,357,9.91666666666667,"EY-test.txt"
144.707,"140121-ey-simpleImp-list1.016",298,359,9.925,"EY-test.txt"
144.715,"140121-ey-simpleImp-list1.016",298,367,9.93333333333333,"EY-test.txt"
144.723,"140121-ey-simpleImp-list1.016",299,366,9.94166666666667,"EY-test.txt"
144.732,"140121-ey-simpleImp-list1.016",295,366,9.95,"EY-test.txt"
144.74,"140121-ey-simpleImp-list1.016",294,360,9.95833333333333,"EY-test.txt"
144.748,"140121-ey-simpleImp-list1.016",295,353,9.96666666666667,"EY-test.txt"
144.757,"140121-ey-simpleImp-list1.016",294,345,9.975,"EY-test.txt"
144.765,"140121-ey-simpleImp-list1.016",291,339,9.98333333333333,"EY-test.txt"
144.773,"140121-ey-simpleImp-list1.016",290,346,9.99166666666667,"EY-test.txt"
144.782,"140121-ey-simpleImp-list1.017",288,358,0,"EY-test.txt"
144.79,"140121-ey-simpleImp-list1.017",286,358,0.00833333333333333,"EY-test.txt"
144.798,"140121-ey-simpleImp-list1.017",285,351,0.0166666666666667,"EY-test.txt"
144.807,"140121-ey-simpleImp-list1.017",294,354,0.025,"EY-test.txt"
144.815,"140121-ey-simpleImp-list1.017",316,361,0.0333333333333333,"EY-test.txt"
144.823,"140121-ey-simpleImp-list1.017",403,368,0.0416666666666667,"EY-test.txt"
144.832,"140121-ey-simpleImp-list1.017",458,372,0.05,"EY-test.txt"
144.84,"140121-ey-simpleImp-list1.017",481,419,0.0583333333333333,"EY-test.txt"
144.848,"140121-ey-simpleImp-list1.017",488,445,0.0666666666666667,"EY-test.txt"
144.857,"140121-ey-simpleImp-list1.017",492,457,0.075,"EY-test.txt"
144.865,"140121-ey-simpleImp-list1.017",492,463,0.0833333333333333,"EY-test.txt"
144.873,"140121-ey-simpleImp-list1.017",495,444,0.0916666666666667,"EY-test.txt"
144.882,"140121-ey-simpleImp-list1.017",500,434,0.1,"EY-test.txt"
144.89,"140121-ey-simpleImp-list1.017",501,434,0.108333333333333,"EY-test.txt"
144.898,"140121-ey-simpleImp-list1.017",501,425,0.116666666666667,"EY-test.txt"
144.907,"140121-ey-simpleImp-list1.017",497,447,0.125,"EY-test.txt"
144.915,"140121-ey-simpleImp-list1.017",502,448,0.133333333333333,"EY-test.txt"
144.923,"140121-ey-simpleImp-list1.017",500,447,0.141666666666667,"EY-test.txt"
144.932,"140121-ey-simpleImp-list1.017",497,443,0.15,"EY-test.txt"
144.94,"140121-ey-simpleImp-list1.017",496,449,0.158333333333333,"EY-test.txt"
144.948,"140121-ey-simpleImp-list1.017",498,444,0.166666666666667,"EY-test.txt"
144.957,"140121-ey-simpleImp-list1.017",506,446,0.175,"EY-test.txt"
144.965,"140121-ey-simpleImp-list1.017",507,448,0.183333333333333,"EY-test.txt"
144.973,"140121-ey-simpleImp-list1.017",499,450,0.191666666666667,"EY-test.txt"
144.982,"140121-ey-simpleImp-list1.017",501,455,0.2,"EY-test.txt"
144.99,"140121-ey-simpleImp-list1.017",496,460,0.208333333333333,"EY-test.txt"
144.998,"140121-ey-simpleImp-list1.017",481,490,0.216666666666667,"EY-test.txt"
145.007,"140121-ey-simpleImp-list1.017",467,540,0.225,"EY-test.txt"
145.015,"140121-ey-simpleImp-list1.017",445,556,0.233333333333333,"EY-test.txt"
145.024,"140121-ey-simpleImp-list1.017",433,568,0.241666666666667,"EY-test.txt"
145.032,"140121-ey-simpleImp-list1.017",438,572,0.25,"EY-test.txt"
145.04,"140121-ey-simpleImp-list1.017",431,569,0.258333333333333,"EY-test.txt"
145.049,"140121-ey-simpleImp-list1.017",432,583,0.266666666666667,"EY-test.txt"
145.057,"140121-ey-simpleImp-list1.017",428,571,0.275,"EY-test.txt"
145.065,"140121-ey-simpleImp-list1.017",427,573,0.283333333333333,"EY-test.txt"
145.074,"140121-ey-simpleImp-list1.017",427,571,0.291666666666667,"EY-test.txt"
145.082,"140121-ey-simpleImp-list1.017",426,568,0.3,"EY-test.txt"
145.09,"140121-ey-simpleImp-list1.017",425,571,0.308333333333333,"EY-test.txt"
145.099,"140121-ey-simpleImp-list1.017",424,572,0.316666666666667,"EY-test.txt"
145.107,"140121-ey-simpleImp-list1.017",427,572,0.325,"EY-test.txt"
145.115,"140121-ey-simpleImp-list1.017",429,572,0.333333333333333,"EY-test.txt"
145.124,"140121-ey-simpleImp-list1.017",432,570,0.341666666666667,"EY-test.txt"
145.132,"140121-ey-simpleImp-list1.017",431,572,0.35,"EY-test.txt"
145.14,"140121-ey-simpleImp-list1.017",427,570,0.358333333333333,"EY-test.txt"
145.149,"140121-ey-simpleImp-list1.017",399,569,0.366666666666667,"EY-test.txt"
145.157,"140121-ey-simpleImp-list1.017",428,567,0.375,"EY-test.txt"
145.165,"140121-ey-simpleImp-list1.017",434,565,0.383333333333333,"EY-test.txt"
145.174,"140121-ey-simpleImp-list1.017",438,558,0.391666666666667,"EY-test.txt"
145.19,"140121-ey-simpleImp-list1.017",439,563,0.408333333333333,"EY-test.txt"
145.199,"140121-ey-simpleImp-list1.017",444,551,0.416666666666667,"EY-test.txt"
145.207,"140121-ey-simpleImp-list1.017",447,552,0.425,"EY-test.txt"
145.215,"140121-ey-simpleImp-list1.017",446,547,0.433333333333333,"EY-test.txt"
145.224,"140121-ey-simpleImp-list1.017",448,545,0.441666666666667,"EY-test.txt"
145.232,"140121-ey-simpleImp-list1.017",449,539,0.45,"EY-test.txt"
145.24,"140121-ey-simpleImp-list1.017",447,545,0.458333333333333,"EY-test.txt"
145.249,"140121-ey-simpleImp-list1.017",447,544,0.466666666666667,"EY-test.txt"
145.257,"140121-ey-simpleImp-list1.017",445,547,0.475,"EY-test.txt"
145.265,"140121-ey-simpleImp-list1.017",443,544,0.483333333333333,"EY-test.txt"
145.274,"140121-ey-simpleImp-list1.017",438,546,0.491666666666667,"EY-test.txt"
145.282,"140121-ey-simpleImp-list1.017",434,548,0.5,"EY-test.txt"
145.29,"140121-ey-simpleImp-list1.017",434,553,0.508333333333333,"EY-test.txt"
145.299,"140121-ey-simpleImp-list1.017",426,557,0.516666666666667,"EY-test.txt"
145.307,"140121-ey-simpleImp-list1.017",421,555,0.525,"EY-test.txt"
145.315,"140121-ey-simpleImp-list1.017",420,558,0.533333333333333,"EY-test.txt"
145.324,"140121-ey-simpleImp-list1.017",416,560,0.541666666666667,"EY-test.txt"
145.332,"140121-ey-simpleImp-list1.017",418,562,0.55,"EY-test.txt"
145.34,"140121-ey-simpleImp-list1.017",402,564,0.558333333333333,"EY-test.txt"
145.349,"140121-ey-simpleImp-list1.017",402,563,0.566666666666667,"EY-test.txt"
145.357,"140121-ey-simpleImp-list1.017",392,573,0.575,"EY-test.txt"
145.366,"140121-ey-simpleImp-list1.017",385,578,0.583333333333333,"EY-test.txt"
145.374,"140121-ey-simpleImp-list1.017",395,577,0.591666666666667,"EY-test.txt"
145.382,"140121-ey-simpleImp-list1.017",392,576,0.6,"EY-test.txt"
145.391,"140121-ey-simpleImp-list1.017",391,579,0.608333333333333,"EY-test.txt"
145.399,"140121-ey-simpleImp-list1.017",395,580,0.616666666666667,"EY-test.txt"
145.407,"140121-ey-simpleImp-list1.017",391,584,0.625,"EY-test.txt"
145.416,"140121-ey-simpleImp-list1.017",396,580,0.633333333333333,"EY-test.txt"
145.424,"140121-ey-simpleImp-list1.017",392,580,0.641666666666667,"EY-test.txt"
145.432,"140121-ey-simpleImp-list1.017",402,585,0.65,"EY-test.txt"
145.441,"140121-ey-simpleImp-list1.017",405,581,0.658333333333333,"EY-test.txt"
145.449,"140121-ey-simpleImp-list1.017",408,580,0.666666666666667,"EY-test.txt"
145.457,"140121-ey-simpleImp-list1.017",412,579,0.675,"EY-test.txt"
145.466,"140121-ey-simpleImp-list1.017",413,580,0.683333333333333,"EY-test.txt"
145.474,"140121-ey-simpleImp-list1.017",420,581,0.691666666666667,"EY-test.txt"
145.482,"140121-ey-simpleImp-list1.017",417,583,0.7,"EY-test.txt"
