"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt","expt"
"141209-03-sc",3,3.39,"F",6,"bing","control_double",16,"2vs1",2,2560,"ipad"
"141209-03-sc",3,3.39,"F",6,"bing","inference",17,"3vs1",2,1929,"ipad"
"141209-03-sc",3,3.39,"F",6,"bing","control_single",18,"1vs1",2,1400,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",3,"2vs2",2,2325,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","inference",4,"3vs1",2,1825,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_double",5,"3vs1",2,3153,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",6,"1vs1",2,1545,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","inference",7,"3vs1",2,1200,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",8,"1vs1",2,1522,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",9,"2vs2",2,1776,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_double",10,"2vs1",2,1602,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_double",11,"3vs1",2,1137,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",12,"1vs1",2,1416,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",13,"2vs2",2,1521,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","inference",14,"2vs1",2,1391,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_single",15,"1vs1",2,1776,"ipad"
"141209-04-sc",5,5.21,"F",6,"bing","control_double",16,"2vs1",2,1323,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",3,"2vs2",2,1456,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","inference",4,"2vs1",2,2145,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_double",5,"3vs1",2,1577,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",6,"2vs2",2,1519,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","inference",7,"2vs1",2,1782,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",8,"2vs2",2,1350,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",9,"2vs2",2,1509,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_double",10,"2vs1",2,1898,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_double",11,"3vs1",2,2229,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",12,"1vs1",2,1540,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",13,"1vs1",2,1252,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","inference",14,"3vs1",2,1563,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",15,"1vs1",2,1681,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_double",16,"2vs1",2,1500,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","inference",17,"3vs1",2,1613,"ipad"
"141209-05-sc",4,4.69,"F",6,"bing","control_single",18,"1vs1",2,1835,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",3,"2vs2",2,2286,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","inference",4,"2vs1",2,1705,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_double",5,"3vs1",2,2938,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",6,"2vs2",2,1732,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","inference",7,"2vs1",2,3608,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",8,"2vs2",2,2066,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",9,"2vs2",2,2058,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_double",10,"2vs1",2,1434,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_double",11,"3vs1",2,2225,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",12,"1vs1",2,1627,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",13,"1vs1",2,1773,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","inference",14,"3vs1",2,1702,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",15,"1vs1",2,4194,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_double",16,"2vs1",2,1776,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","inference",17,"3vs1",2,3611,"ipad"
"141209-06-sc",3,3.21,"F",6,"bing","control_single",18,"1vs1",2,2542,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",3,"2vs2",2,2051,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","inference",4,"3vs1",2,2174,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_double",5,"3vs1",2,3865,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",6,"1vs1",2,1380,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","inference",7,"3vs1",2,2752,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",8,"1vs1",2,1706,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",9,"2vs2",2,2095,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_double",10,"2vs1",2,2091,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_double",11,"3vs1",2,1634,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",12,"1vs1",1,1063,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",13,"2vs2",2,1164,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","inference",14,"2vs1",2,2764,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",15,"1vs1",2,1995,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_double",16,"2vs1",2,1270,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","inference",17,"2vs1",1,1808,"ipad"
"150108-01-sc",4,4.55,"F",5,"bing","control_single",18,"2vs2",2,4017,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",3,"2vs2",2,2007,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","inference",4,"3vs1",1,1936,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_double",5,"3vs1",2,3185,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",6,"1vs1",1,5517,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","inference",7,"3vs1",1,3159,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",8,"1vs1",2,4495,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",9,"2vs2",1,3247,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_double",10,"2vs1",2,4436,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_double",11,"3vs1",1,2816,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",12,"1vs1",2,2790,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",13,"2vs2",2,2808,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","inference",14,"2vs1",2,3718,"ipad"
