subid,keep_drop,expt,age_group,English
141017-02-L1-SC.txt,keep,sc,3,5
141017-03-L1-SC.txt,keep,sc,1,4
141017-04-L1-SC.txt,keep,sc,2,4
141017-05-L1-SC.txt,keep,sc,4,4
141017-06-L1-SC.txt,keep,sc,5,6
141017-08-L1-SC.txt,keep,sc,5,6
141017-09-L1-SC.txt,keep,sc,3,5
141017-10-L1-SC.txt,keep,sc,4,5
150109-10-sc.txt,keep,sc,3,6
150109-11-sc.txt,keep,sc,2,6
150109-12-sc.txt,drop,sc,NA,NA
150109-13-sc.txt,keep,sc,3,3
150109-14-sc.txt,keep,sc,2,4
150109-15-sc.txt,keep,sc,2,3
150109-16-sc.txt,keep,sc,2,6
PRPT_4008_24wk.txt,keep,ASD,4,NA
PRPT_4013_24wk.txt,keep,ASD,2,NA
PRPT_4022_24wk.txt,keep,ASD,3,NA
PRPT_4027_24wk.txt,keep,ASD,4,NA
PRPT_4030_24wk.txt,keep,ASD,5,NA
PRPT_4033_12wk.txt,keep,ASD,3,NA
PRPT_4204_bl.txt,keep,ASD,3,NA
PRPT_4306_BL.txt,keep,ASD,3,NA
PRPT_4612_bl.txt,keep,ASD,3,NA
PRPT_4632_BL.txt,keep,ASD,2,NA
PRPT_4669_BL.txt,keep,ASD,2,NA
PRPT_4839_12wk.txt,keep,ASD,5,NA
PRPT_4896_BL.txt,keep,ASD,5,NA
PRPT_4998_BL.txt,keep,ASD,3,NA
PRPT4021_wk24.txt,keep,ASD,3,NA
150413-01-sc-L2.txt,keep,sc,4,3
150413-02-sc-L2.txt,keep,sc,2,4
150413-03-sc-L1.txt,keep,sc,2,4
150413-04-sc-L2.txt,drop,sc,NA,NA
150413-05-sc-L2.txt,keep,sc,2,6
150413-06-sc-L1.txt,keep,sc,4,6
150413-07-sc-L2.txt,keep,sc,5,5
150413-08-sc-L1.txt,keep,sc,5,4
150413-09-sc-L2.txt,keep,sc,2,5
150413-10-sc-L2.txt,keep,sc,5,5
150413-11-sc-L2.txt,keep,sc,5,6
150413-12-sc-L2.txt,keep,sc,3,2
150413-13-sc-L2.txt,keep,sc,5,2
150413-14-L2.txt,keep,0,2,1
150629-sc-01.txt,keep,sc,4,4
150629-sc-02.txt,keep,sc,3,4
150629-sc-03.txt,keep,sc,4,6
150629-sc-04.txt,keep,sc,3,6
150629-sc-05.txt,keep,sc,5,6
150629-sc-06.txt,keep,sc,4,6
150709-sc-01.txt,keep,sc,4,6
150709-sc-02.txt,keep,sc,3,6
150709-sc-03.txt,keep,sc,4,6
150709-sc-04.txt,keep,sc,4,6
150709-sc-05.txt,keep,sc,3,6
150709-sc-06.txt,keep,sc,2,6
150709-sc-07.txt,keep,sc,5,5
150709-sc-08.txt,keep,sc,5,6
150709-sc-09.txt,keep,sc,3,4.5
150709-sc-10.txt,keep,sc,4,6
150709-sc-11.txt,keep,sc,4,6
150709-sc-12.txt,keep,sc,3,1.5
150709-sc-13.txt,keep,sc,3,5
150709-sc-14.txt,keep,sc,5,5
150709-sc-15.txt,keep,sc,2,6
150710-sc-01.txt,keep,sc,3,6
150710-sc-02.txt,keep,sc,5,4.5
150710-sc-03.txt,keep,sc,5,4
150710-sc-04.txt,keep,sc,2,5
150710-sc-05.txt,keep,sc,NA,5
150710-sc-06.txt,drop,sc,NA,NA
150710-sc-07.txt,keep,sc,3,3
150710-sc-08.txt,keep,sc,5,6
150716-sc-01.txt,keep,sc,2,6
150716-sc-02.txt,keep,sc,4,6
