subid,keep_drop,expt,age,age_group,sex,English
140808-05-SC-L1.txt,keep,scale,adult,adult,M,NA
140811-02-L1-SC.txt,keep,scale,2.3,2,F,6
140811-03-L1-SC.txt,keep,scale,2.3,2,F,6
140811-06-L1-SC.txt,keep,scale,5.7,5,F,6
140811-07-L1-SC.txt,keep,scale,5.9,5,F,5
140811-08-L1-SC.txt,keep,scale,5.9,5,M,6
140813-06-L1-SC.txt,keep,scale,2.3,2,M,5
141010-01-L1-SC.txt,keep,scale,5.1,5,F,5
141010-02-L1-SC.txt,keep,scale,2.5,2,F,5
141010-03-L1-SC.txt,keep,scale,5.8,5,NA,6
141010-04-L1-SC.txt,keep,scale,5.3,5,M,5
141010-05-L1-SC.txt,keep,scale,4.4,4,M,5
141010-06-L1-SC.txt,keep,scale,4.7,4,F,3
141010-07-L1-SC.txt,keep,scale,4.2,4,F,4
141010-08-L1-SC.txt,keep,scale,5.3,5,F,6
141010-09-L1-SC.txt,keep,scale,2.7,2,M,5
141017-01-L1-SC.txt,keep,scale,3.3,3,F,6
141017-02-L1-SC.txt,keep,scale,3.8,3,F,5
141017-03-L1-SC.txt,keep,scale,1.6,1,F,4
141017-04-L1-SC.txt,keep,scale,2.9,2,F,4
141017-05-L1-SC.txt,keep,scale,4.5,4,M,4
141017-06-L1-SC.txt,keep,scale,5.6,5,F,6
141017-08-L1-SC.txt,keep,scale,5,5,M,6
141017-09-L1-SC.txt,keep,scale,3.4,3,F,5
141017-10-L1-SC.txt,keep,scale,4.7,4,F,5
150109-10-sc.txt,keep,scale,3.1,3,F,6
150109-11-sc.txt,keep,scale,2.9,2,F,6
150109-13-sc.txt,keep,scale,3.7,3,F,3
150109-14-sc.txt,keep,scale,2.6,2,M,4
150109-15-sc.txt,keep,scale,2.5,2,F,3
150109-16-sc.txt,keep,scale,2.9,2,F,6
150413-01-sc-L2.txt,keep,scale,4,4,M,3
150413-02-sc-L2.txt,keep,scale,2.5,2,F,4
150413-03-sc-L1.txt,keep,scale,2.5,2,F,4
150413-05-sc-L2.txt,keep,scale,2.3,2,F,6
150413-06-sc-L1.txt,keep,scale,4.4,4,M,6
150413-07-sc-L2.txt,keep,scale,5.8,5,F,5
150413-08-sc-L1.txt,keep,scale,5.9,5,M,4
150413-09-sc-L2.txt,keep,scale,2.7,2,M,5
150413-10-sc-L2.txt,keep,scale,5,5,F,5
150413-11-sc-L2.txt,keep,scale,5.9,5,M,6
150413-12-sc-L2.txt,keep,scale,3.4,3,M,2
150413-13-sc-L2.txt,keep,scale,5,5,F,2
150629-sc-01.txt,keep,scale,4.96,4,F,4
150629-sc-02.txt,keep,scale,3.46,3,M,4
150629-sc-03.txt,keep,scale,4.37,4,F,6
150629-sc-04.txt,keep,scale,3.87,3,M,6
150629-sc-05.txt,keep,scale,5.9,5,M,6
150629-sc-06.txt,keep,scale,4.73,4,M,6
150709-sc-01.txt,keep,scale,4.48,4,M,6
150709-sc-02.txt,keep,scale,3.72,3,M,6
150709-sc-03.txt,keep,scale,4.55,4,M,6
150709-sc-04.txt,keep,scale,4.58,4,M,6
