subid,age_group,trial_type,item_num,correct,rt
141209-07-sc,NA,control_single,2vs2,1,1510
150108-01-sc,5,practice,NA,1,3292
150108-01-sc,5,practice,NA,1,1613
150108-01-sc,5,control_single,2vs2,1,2051
150108-01-sc,5,inference,3vs1,1,2174
150108-01-sc,5,control_double,3vs1,1,3865
150108-01-sc,5,control_single,1vs1,1,1380
150108-01-sc,5,inference,3vs1,1,2752
150108-01-sc,5,control_single,1vs1,1,1706
150108-01-sc,5,control_single,2vs2,1,2095
150108-01-sc,5,control_double,2vs1,1,2091
150108-01-sc,5,control_double,3vs1,1,1634
150108-01-sc,5,control_single,1vs1,0,1063
150108-01-sc,5,control_single,2vs2,1,1164
150108-01-sc,5,inference,2vs1,1,2764
150108-01-sc,5,control_single,1vs1,1,1995
150108-01-sc,5,control_double,2vs1,1,1270
150108-01-sc,5,inference,2vs1,0,1808
150108-01-sc,5,control_single,2vs2,1,4017
150109-01-sc,NA,practice,NA,0,5764
150109-01-sc,NA,practice,NA,1,1979
150109-01-sc,NA,control_single,2vs2,1,2007
150109-01-sc,NA,inference,3vs1,0,1936
150109-01-sc,NA,control_double,3vs1,1,3185
150109-01-sc,NA,control_single,1vs1,0,5517
150109-01-sc,NA,inference,3vs1,0,3159
150109-01-sc,NA,control_single,1vs1,1,4495
150109-01-sc,NA,control_single,2vs2,0,3247
150109-01-sc,NA,control_double,2vs1,1,4436
150109-01-sc,NA,control_double,3vs1,0,2816
150109-01-sc,NA,control_single,1vs1,1,2790
150109-01-sc,NA,control_single,2vs2,1,2808
150109-01-sc,NA,inference,2vs1,1,3718
150109-01-sc,NA,control_single,1vs1,0,1734
150109-01-sc,NA,control_double,2vs1,1,4477
150109-01-sc,NA,inference,2vs1,1,2528
150109-01-sc,NA,control_single,2vs2,1,12611
150109-02-sc,NA,practice,NA,1,6951
150109-02-sc,NA,control_single,2vs2,1,8829
150109-02-sc,NA,inference,2vs1,1,3775
150109-02-sc,NA,control_double,3vs1,1,8715
150109-02-sc,NA,control_single,2vs2,1,5502
150109-02-sc,NA,inference,2vs1,0,3308
150109-02-sc,NA,control_single,2vs2,1,2783
150109-02-sc,NA,control_single,2vs2,1,4994
150109-02-sc,NA,control_double,2vs1,1,3039
150109-02-sc,NA,control_double,3vs1,0,4865
150109-02-sc,NA,control_single,1vs1,1,10287
