"subid","list","trial_num","word","pic1","pic2","trial_type","pic1type","pic2type","side_clicked","pic_clicked","correct","datetesting","time","rt","item_num","V17","keep_drop","expt","age_group","English"
"141204-06-sc",2,13,"bert_truck2","bert_ball2","bert_truck2","control_single","distractor","target","R","bert_truck2","Y","12/4/14","10:15",2372,"1vs1",NA,"keep","ipad","3",6
"141204-06-sc",2,14,"grover_flower2","grover_teddybear2","grover_flower2","inference","distractor","target","R","grover_flower2","Y","12/4/14","10:15",2193,"3vs1",NA,"keep","ipad","3",6
"141204-06-sc",2,15,"ernie_flower2","ernie_flower2","ernie_teddybear2","control_single","target","distractor","L","ernie_flower2","Y","12/4/14","10:15",2316,"1vs1",NA,"keep","ipad","3",6
"141204-06-sc",2,16,"ernie_cat2","ernie_cat2","ernie_dog2","control_double","target","distractor","L","ernie_cat2","Y","12/4/14","10:15",3369,"2vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,1,"practice1_cow","practice1_cow","practice1_lion","practice","target","distractor","L","practice1_cow","Y","12/9/14","1:22",3394,NA,NA,"keep","ipad","3",6
"141209-01-sc",1,2,"practice2_monkey","practice2_rabbit","practice2_monkey","practice","distractor","target","R","practice2_monkey","Y","12/9/14","1:22",2000,NA,NA,"keep","ipad","3",6
"141209-01-sc",1,3,"elmo_teddybear","elmo_flower","elmo_teddybear","control_single","distractor","target","R","elmo_teddybear","Y","12/9/14","1:22",1560,"2vs2",NA,"keep","ipad","3",6
"141209-01-sc",1,4,"elmo_apple","elmo_apple","elmo_orange","inference","target","distractor","L","elmo_apple","Y","12/9/14","1:22",1801,"3vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,5,"grover_dog","grover_cat","grover_dog","control_double","distractor","target","R","grover_dog","Y","12/9/14","1:22",2989,"3vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,6,"elmo_banana","elmo_banana","elmo_carrot","control_single","target","distractor","L","elmo_banana","Y","12/9/14","1:22",1755,"1vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,7,"grover_car","grover_car","grover_bicycle","inference","target","distractor","L","grover_car","Y","12/9/14","1:22",5152,"3vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,8,"ernie_orange","ernie_apple","ernie_orange","control_single","distractor","target","R","ernie_orange","Y","12/9/14","1:22",2071,"1vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,9,"bert_cat","bert_cat","bert_dog","control_single","target","distractor","L","bert_cat","Y","12/9/14","1:22",1876,"2vs2",NA,"keep","ipad","3",6
"141209-01-sc",1,10,"bert_ball","bert_ball","bert_truck","control_double","target","distractor","L","bert_ball","Y","12/9/14","1:22",3940,"2vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,11,"bert_flower","bert_flower","bert_teddybear","control_double","target","distractor","L","bert_flower","Y","12/9/14","1:22",1994,"3vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,12,"elmo_truck","elmo_ball","elmo_truck","control_single","distractor","target","R","elmo_truck","Y","12/9/14","1:22",1405,"1vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,13,"bert_bicycle","bert_car","bert_bicycle","control_single","distractor","target","R","bert_bicycle","Y","12/9/14","1:22",1432,"2vs2",NA,"keep","ipad","3",6
"141209-01-sc",1,14,"bert_carrot","bert_banana","bert_carrot","inference","distractor","target","R","bert_carrot","Y","12/9/14","1:22",1531,"2vs1",NA,"keep","ipad","3",6
